Word	HappRank	Havg	StDev	Freq_List	TwitterRank	Gbook_Rank
люблю	1	8.22	0.8154	189	112	3031
любовь	2	8.22	0.9957	422	241	948
счастлива	3	8.20	0.8330	1533	1718	--
счастливый	4	8.20	1.0302	3661	3968	--
любить	5	8.16	0.8657	1215	685	4235
счастье	6	8.12	1.0230	1795	562	2301
любимая	7	8.10	0.9530	2318	1193	--
счастливая	8	8.10	0.9091	--	4339	--
счастливы	9	8.08	1.0270	2359	3569	--
счастливой	10	8.08	0.9442	3561	4036	--
счастья	11	8.04	0.9467	2839	542	4004
любимый	12	8.04	0.9249	1836	873	--
счастлив	13	8.04	1.1058	1296	2064	--
прекрасный	14	8.00	0.9258	1468	2215	--
счастливым	15	8.00	0.9897	4044	3584	--
радость	16	7.98	1.0593	2484	1687	2941
влюблен	17	7.94	0.9127	4509	--	--
любимой	18	7.92	0.9442	--	1992	--
великолепно	19	7.92	1.1578	1584	--	--
чудесный	20	7.92	0.9223	4339	--	--
любимым	21	7.92	0.9864	--	2585	--
любовью	22	7.90	1.0926	1506	1456	4278
прекрасной	23	7.88	0.9823	4808	--	--
счастью	24	7.88	1.1183	2958	--	--
любишь	25	7.88	1.0622	690	1021	--
прекрасная	26	7.88	0.9179	1933	4565	--
счастливого	27	7.88	0.9398	2823	--	--
прекрасно	28	7.86	0.9260	408	1626	2958
любви	29	7.86	1.0692	730	487	973
отлично	30	7.86	1.1430	231	558	4645
прекрасна	31	7.84	0.9553	3273	4100	--
любимые	32	7.84	1.0568	--	1750	--
любимых	33	7.84	0.9337	--	2982	--
чудесно	34	7.82	0.9833	1810	--	--
wonderful	35	7.82	0.9624	--	4439	--
любимого	36	7.82	1.0821	--	2652	--
влюбилась	37	7.80	0.9689	--	4482	--
отличная	38	7.80	0.9689	1341	1974	--
happy	39	7.80	1.1249	--	177	--
лучший	40	7.80	1.0880	798	447	--
успех	41	7.80	1.1249	3226	3024	2837
счастливо	42	7.80	1.2122	2504	--	--
превосходно	43	7.78	1.1657	3121	--	--
отличное	44	7.76	1.1528	4035	2433	--
любимую	45	7.76	0.9806	--	4170	--
потрясающе	46	7.76	1.1350	1844	--	--
любит	47	7.76	1.0214	621	602	3592
замечательный	48	7.74	1.0654	3260	3566	--
свадьба	49	7.74	1.2747	2738	3604	--
победа	50	7.72	1.1613	3617	2480	3548
отличный	51	7.72	1.0698	1367	976	--
рай	52	7.72	1.2623	2984	3417	--
влюбился	53	7.72	0.8340	3611	--	--
радости	54	7.72	1.0698	3839	2112	3281
праздник	55	7.70	0.9742	2225	672	4698
обожаю	56	7.70	1.0351	1729	686	--
прекрасные	57	7.70	1.1473	4326	--	--
новогоднюю	58	7.70	1.1112	--	1609	--
love	59	7.70	1.2330	--	148	--
радоваться	60	7.68	0.9355	--	3546	--
удовольствие	61	7.68	1.2027	1893	3562	--
подарки	62	7.68	1.0583	2878	362	--
прекрасное	63	7.68	1.0774	3562	4617	--
маме	64	7.68	1.2196	1282	1468	--
смех	65	7.66	1.0994	3019	2832	--
мама	66	7.66	1.2224	157	239	4050
красивая	67	7.66	0.9817	951	892	--
улыбка	68	7.66	0.8715	--	3443	--
смешно	69	7.64	0.9638	810	1098	--
любим	70	7.64	1.0645	2574	2338	--
любимое	71	7.64	0.9848	--	4982	--
радостью	72	7.62	1.0669	3629	--	--
дружба	73	7.62	1.0079	--	384	--
улыбкой	74	7.62	0.9875	--	4463	--
праздники	75	7.60	0.9689	--	2088	--
красивое	76	7.60	0.9476	3268	4675	--
красавица	77	7.60	0.9897	2450	4789	--
поцеловать	78	7.60	0.9689	3795	--	--
любят	79	7.60	0.9476	1464	1044	--
лучшая	80	7.60	1.1952	1938	1425	--
шикарно	81	7.60	0.9689	--	3582	--
умница	82	7.58	0.9916	4939	--	--
красивый	83	7.58	0.9495	1632	1836	--
пoдарок	84	7.58	0.9055	--	4981	--
замечательная	85	7.58	1.0120	3508	--	--
поцелуй	86	7.58	1.0120	1482	4891	--
улыбаться	87	7.58	0.9495	--	3749	--
замечательно	88	7.56	1.1808	802	3241	--
ура	89	7.56	1.0721	2269	448	--
новогодний	90	7.56	1.1095	--	642	--
красота	91	7.56	0.9293	2875	1722	--
праздника	92	7.56	1.0134	--	2850	--
весело	93	7.56	1.0529	1454	854	4334
добрые	94	7.54	1.0144	--	3461	--
удача	95	7.54	1.1643	3683	--	--
красивой	96	7.54	0.9304	4223	3152	--
добрый	97	7.52	1.0349	505	890	--
смеется	98	7.52	1.1110	3425	--	--
рождества	99	7.50	1.2657	2500	4306	--
рождество	100	7.50	1.5017	1393	1534	--
удачу	101	7.50	0.9742	4728	--	--
добра	102	7.50	1.0152	3662	3033	4530
восторге	103	7.50	1.2495	4452	--	--
поздравления	104	7.50	0.9313	4667	1749	--
супер	105	7.50	1.2657	2112	682	--
smile	106	7.50	1.2495	--	3839	--
красивые	107	7.50	1.0351	2104	1496	--
поздравляем	108	7.48	0.9528	--	2935	--
урааа	109	7.48	1.1822	--	4506	--
чудо	110	7.48	1.2656	1547	1525	--
новогоднего	111	7.48	1.0736	--	2255	--
победой	112	7.48	1.0925	--	4694	--
выходные	113	7.46	1.1643	2132	772	--
новогоднее	114	7.46	1.1287	--	767	--
новогодние	115	7.44	1.0529	--	788	--
beautiful	116	7.44	1.2961	--	1375	--
маму	117	7.44	1.3426	1582	2135	--
добро	118	7.44	1.0721	594	1864	4894
юмор	119	7.44	1.0529	--	4854	--
молодцы	120	7.44	0.9723	--	1698	--
super	121	7.44	1.3426	--	2283	--
шикарный	122	7.44	1.2149	--	4022	--
выиграли	123	7.44	1.1634	4843	--	--
солнышко	124	7.44	1.0910	--	2854	--
best	125	7.44	1.3273	--	240	--
смеяться	126	7.44	0.9930	2805	4058	--
любите	127	7.42	1.1622	2137	2500	--
выходной	128	7.42	1.1082	--	2473	--
подарок	129	7.42	1.1082	873	324	--
добрая	130	7.42	0.9055	--	3920	--
свобода	131	7.42	1.2137	3063	3107	3045
лучшее	132	7.42	1.2631	1408	1342	--
смеха	133	7.42	1.1622	--	4661	--
красивых	134	7.40	0.9689	--	3853	--
красиво	135	7.40	1.1066	1225	980	--
birthday	136	7.40	1.4142	--	645	--
holidays	137	7.40	1.2617	--	4366	--
праздновать	138	7.40	0.9258	--	3728	--
мамы	139	7.40	1.1606	1820	1929	--
идеально	140	7.40	1.2778	3863	--	--
браво	141	7.40	1.1429	2144	--	--
доброе	142	7.40	1.0302	524	264	--
отличные	143	7.40	1.2936	--	4732	--
молодец	144	7.38	1.0669	882	793	--
выиграл	145	7.38	1.1761	2246	3464	--
победить	146	7.38	1.1586	2317	4933	--
мамочка	147	7.38	1.4270	2138	--	--
удовольствия	148	7.38	1.1933	4560	--	--
новогодних	149	7.38	1.0669	--	2248	--
классно	150	7.38	1.2599	1978	1232	--
сюрприз	151	7.38	1.1045	1430	3661	--
богатство	152	7.38	1.2271	--	--	4497
выиграла	153	7.38	1.1761	--	4027	--
победу	154	7.38	1.3076	4453	1862	3437
смешного	155	7.38	0.9666	4863	--	--
красоты	156	7.38	0.9875	--	3195	4807
perfect	157	7.36	1.4950	--	3249	--
лучшего	158	7.36	1.0053	2895	3021	--
любимый-это	159	7.36	1.3056	--	2754	--
поздравление	160	7.36	1.0451	--	2616	--
победил	161	7.36	1.2578	3573	3611	--
классные	162	7.36	1.0254	--	3554	--
милая	163	7.36	0.9205	673	1880	--
нравиться	164	7.36	0.9205	2859	3120	--
новогодняя	165	7.36	0.9848	--	1420	--
удовольствием	166	7.36	1.1911	1520	2908	--
ахахахаха	167	7.34	1.6856	--	3414	--
друзья	168	7.34	1.1713	493	270	2831
доброй	169	7.34	1.0022	2328	1660	--
kiss	170	7.34	1.1886	--	3596	--
новогодней	171	7.34	1.1359	--	4913	--
каникулы	172	7.34	1.3032	--	1165	--
доброго	173	7.34	1.0022	3387	936	--
удачи	174	7.34	1.0224	921	594	--
loves	175	7.34	1.1713	--	2315	--
нравлюсь	176	7.34	1.1178	3430	--	--
успехом	177	7.34	1.0022	--	--	4646
успешно	178	7.32	0.9134	--	3770	1846
лучшие	179	7.32	1.1328	1760	885	2896
paradise	180	7.32	1.3915	--	2630	--
удачно	181	7.32	1.0774	--	4266	--
чудеса	182	7.32	1.0583	--	3115	--
приятно	183	7.32	1.0774	568	495	--
добрым	184	7.32	0.9988	--	1770	--
милые	185	7.32	0.9570	4541	3166	--
чудес	186	7.32	1.0774	--	4826	--
радует	187	7.30	0.9949	--	1228	--
люби	188	7.30	1.0926	--	4340	--
симпатичный	189	7.30	0.9742	4650	--	--
рад	190	7.30	1.0351	388	1174	4986
мамой	191	7.30	1.2164	1695	1867	--
поздравляю	192	7.30	0.9530	1208	461	--
успеха	193	7.30	1.0546	4475	3243	4012
милый	194	7.28	1.0110	706	1615	--
поздравить	195	7.28	1.0110	--	3127	--
прелесть	196	7.28	1.1436	3160	3129	--
вкусно	197	7.28	0.9267	1867	2235	--
funny	198	7.28	1.1073	--	4683	--
классный	199	7.28	1.0887	3729	1659	--
нравишься	200	7.28	0.9044	2086	--	--
умная	201	7.28	1.0698	4331	4336	--
родители	202	7.28	1.2784	856	1202	--
подарками	203	7.28	1.1073	--	3731	--
хорошего	204	7.28	1.0887	1248	799	--
дружбы	205	7.28	1.0309	--	--	3660
друзьями	206	7.26	1.0063	1325	1532	--
доволен	207	7.26	1.0461	2761	3450	--
победила	208	7.26	1.1920	--	2930	--
лучших	209	7.26	1.1747	2050	1326	2399
ангел	210	7.26	1.2747	2643	--	--
отдыхать	211	7.24	1.1704	--	3360	--
хорошая	212	7.24	0.9161	537	832	--
папочка	213	7.24	1.3180	2307	--	--
симпатичная	214	7.24	0.8935	4701	--	--
приз	215	7.24	1.1168	--	3581	--
гений	216	7.22	1.1119	2548	3799	--
приятный	217	7.22	0.9957	4068	--	--
понравился	218	7.22	1.0160	3144	1753	--
свадьбе	219	7.22	1.1657	4296	--	--
хорошую	220	7.22	0.9100	2975	4099	--
лучшим	221	7.22	1.2501	2664	2441	--
выиграть	222	7.22	1.1830	2916	3568	--
ахахаха	223	7.22	1.5945	--	1091	--
праздником	224	7.22	1.0359	--	2303	--
юмора	225	7.20	1.1249	--	3945	--
солнце	226	7.20	1.2778	1204	1528	1428
сладкая	227	7.20	1.0690	4943	--	--
родной	228	7.20	1.1249	4240	3506	3136
отдых	229	7.20	1.0880	--	2498	--
хорошей	230	7.20	0.8571	2446	2098	--
классная	231	7.20	1.0690	3236	2081	--
хороший	232	7.20	1.1780	417	475	4013
рождеством	233	7.20	1.3401	3890	3293	--
шутки	234	7.18	1.1373	3942	469	--
свадьбу	235	7.18	1.3045	2583	--	--
хорошее	236	7.18	0.9409	1138	1012	4178
хорошо	237	7.18	1.0631	33	123	221
детство	238	7.18	1.1899	--	3340	--
умный	239	7.18	1.0240	2309	3093	--
здоров	240	7.18	1.0631	3162	--	--
хороша	241	7.18	0.9190	2840	--	--
выходных	242	7.18	1.1899	--	1915	--
вечеринка	243	7.18	1.1373	1709	--	--
здорово	244	7.16	1.1314	398	1304	--
невеста	245	7.16	1.0947	3478	--	--
nice	246	7.16	1.2349	--	1607	--
богатства	247	7.16	1.2182	--	--	3992
смешные	248	7.16	1.0174	--	4760	--
хорошие	249	7.16	0.9765	969	1169	4589
отпуск	250	7.16	1.3303	3091	4025	--
семья	251	7.16	1.0759	738	2136	3081
спасибо	252	7.16	1.0373	58	75	4693
красавчик	253	7.16	1.1843	4199	--	--
holiday	254	7.16	1.1493	--	3447	--
герой	255	7.16	1.2349	1825	3258	2199
мечта	256	7.16	1.1314	2513	1601	--
папа	257	7.14	1.2938	199	650	--
путешествие	258	7.14	1.2291	2298	--	--
любили	259	7.14	1.3554	3568	--	--
sweet	260	7.14	1.1608	--	1860	--
christmas	261	7.14	1.3554	--	366	--
хахаха	262	7.14	1.4287	--	2282	--
друг	263	7.14	1.2618	179	306	357
подарить	264	7.12	1.0428	--	2100	--
праздников	265	7.12	1.2558	--	4196	--
welcome	266	7.12	1.1542	--	3525	--
победы	267	7.12	1.0029	4855	2245	1772
добре	268	7.12	1.0029	4915	--	--
приятное	269	7.12	1.0812	--	4280	--
лето	270	7.12	1.3192	2494	1217	4155
друзьям	271	7.10	1.0546	3726	1716	--
благо	272	7.10	1.1824	--	--	4591
рада	273	7.10	1.0351	767	808	--
приятного	274	7.10	0.9091	3330	2145	--
дружище	275	7.10	0.9091	1705	--	--
приятных	276	7.10	1.1824	--	3436	--
понравилось	277	7.10	0.9313	1298	1196	--
enjoy	278	7.10	1.3590	--	4299	--
хороших	279	7.08	1.0270	3332	2533	--
жив	280	7.08	1.1753	1007	3759	--
целую	281	7.08	1.2262	2100	3949	--
свободы	282	7.08	1.2752	3308	3068	1141
шутка	283	7.08	1.1400	1518	3333	--
нравятся	284	7.08	0.9442	1210	1575	--
luck	285	7.06	1.3001	--	4039	--
бабушка	286	7.06	1.1323	1422	2186	--
мечтаю	287	7.06	1.1502	--	3615	--
вкусный	288	7.06	1.0956	--	3571	--
чемпион	289	7.06	1.3311	3405	4623	--
удачного	290	7.06	1.1502	--	3294	--
успехи	291	7.06	1.0184	--	--	2605
шоколад	292	7.06	1.2683	4430	3192	--
свободной	293	7.06	1.1502	--	--	3149
обнять	294	7.06	1.0768	--	4863	--
friends	295	7.06	1.4626	--	380	--
мам	296	7.04	1.2447	748	1993	--
славный	297	7.04	1.1421	4719	--	--
благодарен	298	7.04	0.9681	3653	--	--
живой	299	7.04	1.2282	1905	1633	2000
мир	300	7.04	1.3395	337	288	432
кайф	301	7.04	1.3395	--	3015	--
хорош	302	7.02	0.9581	1560	3206	--
good	303	7.02	0.9998	--	405	--
весна	304	7.02	1.1516	--	2901	--
рады	305	7.02	1.2036	2161	2796	--
friend	306	7.02	1.3013	--	2717	--
святая	307	7.02	1.3476	4245	--	--
нравится	308	7.02	0.8919	194	256	--
матерью	309	7.02	1.3013	1910	--	--
друзей	310	7.02	1.2036	865	546	2719
солнца	311	7.00	1.2289	2343	--	1990
горжусь	312	7.00	1.0302	2841	4900	--
торт	313	7.00	0.9476	3447	3135	--
хороши	314	7.00	0.9258	4342	--	--
вечеринки	315	7.00	1.1606	3494	--	--
свадьбы	316	7.00	1.2617	2652	4952	--
сладкий	317	7.00	1.0880	4626	4859	--
поздравил	318	7.00	0.9476	--	2959	--
бонус	319	7.00	1.1066	--	519	--
sun	320	7.00	1.4142	--	4634	--
хорошем	321	6.98	1.0398	--	3788	--
свободе	322	6.98	1.2036	3933	--	--
лучшей	323	6.98	1.2036	4127	4809	--
добры	324	6.98	1.0200	3384	--	--
дорогая	325	6.98	1.3013	397	1715	--
мило	326	6.98	1.0971	886	1173	--
life	327	6.98	1.4637	--	696	--
семью	328	6.98	1.2534	1365	4353	--
выспался	329	6.98	1.0784	--	4197	--
great	330	6.98	1.2370	--	1161	--
прикольный	331	6.98	1.1156	--	680	--
здоровье	332	6.96	1.0294	1792	1683	3727
успехов	333	6.96	0.9467	--	2913	4688
подарили	334	6.96	1.0490	--	2341	--
молодой	335	6.96	1.1241	1293	2764	1205
поблагодарить	336	6.96	0.9681	2945	--	--
другу	337	6.96	1.1058	1179	1758	1674
свободен	338	6.96	1.0093	2717	--	--
свидание	339	6.96	1.2930	1586	--	--
повезло	340	6.94	0.9982	898	2033	--
семьей	341	6.94	1.3157	3401	--	--
благодарю	342	6.94	0.9127	853	--	--
свободны	343	6.94	1.1323	3698	--	--
слава	344	6.94	1.2022	1041	1369	3172
жизнь	345	6.94	1.3911	144	143	165
гордиться	346	6.94	1.1323	4878	--	--
сестра	347	6.94	1.0382	630	2621	4367
favorite	348	6.94	1.3157	--	2671	--
подарков	349	6.94	1.1323	--	1579	--
вечеринку	350	6.92	1.2752	1671	--	--
друга	351	6.92	1.1925	435	623	644
талант	352	6.92	1.1578	3039	--	--
мать	353	6.92	1.3827	266	823	889
цветы	354	6.92	1.1220	1642	2829	--
ребенок	355	6.92	1.1400	743	1884	4989
отдохнуть	356	6.92	1.1220	2080	2934	--
забавно	357	6.92	0.9655	1474	2760	--
женился	358	6.92	1.2591	3251	--	--
подруга	359	6.92	1.1400	1494	1584	--
золотой	360	6.92	1.2752	3959	3485	3812
хорошим	361	6.92	0.9864	1849	2458	--
шучу	362	6.92	1.1753	1922	--	--
музыка	363	6.90	1.2976	1076	780	2948
малыш	364	6.90	1.1650	759	3955	--
триумфальная	365	6.90	1.2976	--	1289	--
fun	366	6.90	1.2657	--	2945	--
понравилась	367	6.90	0.8391	3614	3196	--
королева	368	6.90	1.1650	2453	--	--
героев	369	6.90	1.1824	--	--	2313
мороженое	370	6.90	1.1473	3992	--	--
каникул	371	6.90	1.1824	--	4924	--
мечты	372	6.90	1.0351	1999	762	--
молодая	373	6.88	0.9613	3695	--	4684
вечеринке	374	6.88	1.1364	3418	--	--
конфеты	375	6.88	1.0812	--	3505	--
сын	376	6.88	1.2558	323	1941	1496
интересное	377	6.88	1.0029	4262	2600	--
удивительно	378	6.88	1.0428	2024	3957	4585
дар	379	6.88	1.0428	3274	--	--
анекдот	380	6.86	1.1954	--	3651	--
жениться	381	6.86	1.1608	1935	--	--
награду	382	6.86	1.1430	--	358	--
like	383	6.86	1.1782	--	347	--
удовлетворения	384	6.86	1.1608	--	--	4661
summer	385	6.86	1.2938	--	4801	--
принцесса	386	6.86	1.2124	1714	--	--
дарить	387	6.86	1.0692	--	3041	--
win	388	6.86	1.5254	--	2404	--
dream	389	6.86	1.2456	--	2076	--
дети	390	6.86	1.1954	415	647	1273
свободу	391	6.86	1.0500	2367	2461	1970
интересная	392	6.86	1.0304	--	3051	--
интересные	393	6.86	0.8809	--	2405	--
рождение	394	6.86	1.1068	--	3975	--
прикольные	395	6.84	1.0947	--	4989	--
жива	396	6.84	1.2349	2324	--	--
дочка	397	6.84	1.2835	3744	--	--
уважение	398	6.84	0.9116	4464	--	--
повезет	399	6.84	1.1669	4981	--	--
великое	400	6.84	1.2014	--	--	4435
лучше	401	6.84	1.0174	115	124	413
fine	402	6.84	1.1493	--	4909	--
подарил	403	6.82	0.9833	3676	3022	--
природа	404	6.82	1.1726	4593	--	2101
family	405	6.82	1.5345	--	2623	--
искусство	406	6.82	1.0821	3534	3605	1096
thanks	407	6.82	1.0437	--	1412	--
девушки	408	6.82	1.2070	1133	635	3597
круто	409	6.82	1.3952	1028	327	--
better	410	6.82	1.1008	--	2343	--
подарила	411	6.82	0.9833	--	4977	--
понравится	412	6.82	1.0240	1088	3627	--
ахахха	413	6.82	1.6249	--	3682	--
семье	414	6.82	1.0821	1439	2881	2229
живы	415	6.82	1.2070	2932	--	--
прикол	416	6.82	1.3200	--	3848	--
ребёнок	417	6.82	1.2237	1562	--	--
родителей	418	6.80	1.1606	1555	1872	3328
женой	419	6.80	1.1780	1297	4250	--
pretty	420	6.80	1.1780	--	4558	--
святой	421	6.80	1.2617	1815	--	4270
родителям	422	6.80	1.2122	3437	4262	--
умные	423	6.80	1.0102	--	3099	--
лучшему	424	6.80	1.3093	4937	4884	--
детства	425	6.80	1.1606	3790	2590	4793
доверие	426	6.80	0.9897	4669	--	--
шутишь	427	6.80	1.0880	1628	--	--
воскресенье	428	6.80	1.2289	2200	1238	--
танцевать	429	6.80	1.1606	1652	3517	--
надежды	430	6.80	0.8806	2996	--	2930
море	431	6.80	1.3702	1223	1212	971
чувства	432	6.78	1.1830	1276	1629	1383
dear	433	6.78	1.1657	--	2055	--
дорогой	434	6.78	1.2337	489	1033	2606
дочь	435	6.78	1.2664	581	2309	2480
цветок	436	6.78	1.0746	3705	--	--
baby	437	6.78	1.2337	--	1914	--
уважения	438	6.78	0.9322	4113	--	--
здоровья	439	6.78	1.1480	--	1224	3583
детям	440	6.78	1.1657	2133	2171	--
sex	441	6.78	1.7058	--	1621	--
gift	442	6.78	1.2501	--	4373	--
здравствуй	443	6.78	1.0746	1134	2662	--
свидания	444	6.78	1.0934	636	--	--
премии	445	6.78	0.9750	--	4075	--
живым	446	6.78	1.2501	3321	--	--
молодые	447	6.78	1.1301	4506	4287	2421
шутите	448	6.78	1.0160	4067	--	--
надежду	449	6.76	0.8935	4526	--	--
искренне	450	6.76	1.1528	4587	2358	--
матери	451	6.76	1.1704	758	--	1100
amazing	452	6.76	1.4365	--	1505	--
удалось	453	6.76	1.2048	1226	2423	741
девчонки	454	6.76	1.0606	2973	1648	--
роза	455	6.76	1.1877	2129	--	--
честное	456	6.76	0.9806	4990	--	--
золото	457	6.76	1.2545	2202	4296	4937
танцы	458	6.76	1.1877	4272	3597	--
улучшения	459	6.76	1.0606	--	--	2354
золота	460	6.76	1.2545	4564	--	3775
свободно	461	6.76	1.1350	4838	--	2843
брат	462	6.76	1.0412	368	1337	2091
сердцем	463	6.76	1.1350	3943	4756	--
надежда	464	6.76	1.1168	2589	2798	4032
сладких	465	6.76	1.0214	--	1413	--
сказка	466	6.76	1.0797	--	3362	--
подружка	467	6.76	1.0214	3006	--	--
папы	468	6.76	1.3486	3184	--	--
чемпионов	469	6.76	1.1168	--	2673	--
ёлка	470	6.76	1.2545	--	3279	--
выспаться	471	6.74	1.0654	--	2922	--
интересный	472	6.74	0.9435	--	2324	--
совершенствование	473	6.74	1.3063	--	--	3300
семьи	474	6.74	1.2090	901	2944	1128
жена	475	6.74	1.1572	432	1031	1454
ахаха	476	6.74	1.4957	--	389	--
улучшению	477	6.74	0.9435	--	--	4008
сказки	478	6.74	0.9858	--	4561	3886
секс	479	6.74	1.8495	1583	653	--
героем	480	6.74	1.2257	4816	--	--
тепло	481	6.74	1.1920	3458	1599	4550
детей	482	6.74	1.2586	386	557	474
ахахахах	483	6.74	1.8049	--	2073	--
знания	484	6.74	1.1031	--	--	1452
прибыль	485	6.74	1.1920	--	--	4461
любил	486	6.74	1.7821	1079	3427	2803
родителями	487	6.74	1.1747	4164	4574	--
хаха	488	6.74	1.6264	--	1434	--
желание	489	6.74	1.0461	1645	968	2826
творческой	490	6.74	1.1031	--	--	3330
рождения	491	6.74	1.0063	691	421	2015
жить	492	6.72	1.4714	338	304	823
танец	493	6.72	1.1256	3287	4218	--
интересно	494	6.72	0.9485	544	210	2061
ребёнка	495	6.72	1.1256	1719	--	--
ребенка	496	6.72	1.1787	881	1256	2011
тепла	497	6.72	1.1256	--	--	3755
детьми	498	6.72	1.1959	1572	4815	4104
дитя	499	6.72	1.3254	2564	--	--
health	500	6.72	1.1613	--	4247	--
дочерью	501	6.70	1.1294	4319	--	--
честно	502	6.70	1.1824	790	944	--
хорошенько	503	6.70	0.9742	3224	--	--
крутая	504	6.70	1.2164	--	2048	--
свободного	505	6.70	1.0546	--	--	3256
dance	506	6.70	1.1112	--	1948	--
music	507	6.70	1.2330	--	1110	--
привет	508	6.70	1.0546	102	163	--
скидка	509	6.70	1.0738	--	1309	--
прикольно	510	6.70	1.6067	--	2198	--
интересного	511	6.70	1.0351	--	3729	--
dreams	512	6.70	1.1112	--	2713	--
героя	513	6.70	1.1294	--	--	1414
подари	514	6.70	1.0152	--	2390	--
отдыха	515	6.70	1.1112	--	4125	3898
повышения	516	6.70	1.0926	--	--	877
музыки	517	6.70	1.2330	3381	1892	2740
бесплатно	518	6.70	1.1824	3032	476	--
свободна	519	6.70	1.0738	4563	--	--
дочери	520	6.70	1.2330	1486	--	3750
музыку	521	6.70	1.0351	1423	863	--
улучшение	522	6.70	0.7890	--	--	2983
везет	523	6.70	1.2495	--	3174	--
великий	524	6.68	1.2526	1748	3336	1843
рекорд	525	6.68	1.3161	--	2909	--
освобождение	526	6.68	1.1507	--	--	3277
сильный	527	6.68	1.1507	2322	2954	4544
триумфальной	528	6.68	1.2688	--	490	--
душа	529	6.68	1.1856	1699	1755	2019
здравствуйте	530	6.68	0.9781	437	2262	--
детстве	531	6.68	1.0774	2903	1604	--
мирного	532	6.68	1.0774	--	--	4757
детская	533	6.68	1.0774	--	3883	--
правильно	534	6.68	1.1328	406	520	1364
папе	535	6.68	1.2196	3067	4556	--
ахахах	536	6.68	1.8783	--	575	--
герои	537	6.68	1.1328	--	--	4697
независимость	538	6.68	1.1683	--	--	3431
цирк	539	6.68	1.1856	--	4889	--
пользу	540	6.68	1.1147	2869	3852	1009
миру	541	6.68	1.3915	1971	3470	2938
выздоравливай	542	6.68	1.1507	--	4186	--
подруги	543	6.68	1.0774	4374	2761	--
правду	544	6.68	1.2027	760	1689	3099
великая	545	6.68	1.2526	--	--	3817
cool	546	6.66	1.3940	--	1484	--
летом	547	6.66	1.1713	2986	1096	1836
интереснее	548	6.66	0.9172	--	4061	--
доверяю	549	6.66	1.0422	3492	--	--
игрушки	550	6.66	1.1537	4613	3481	--
доходы	551	6.66	1.0224	--	--	3962
дедушка	552	6.66	1.0806	1801	1379	--
выспалась	553	6.66	0.9607	--	3034	--
sexy	554	6.66	1.7912	--	1370	--
сына	555	6.66	1.1178	714	2847	1384
желания	556	6.66	1.0616	2768	1791	--
новый	557	6.64	1.0053	529	55	499
честные	558	6.64	1.1563	--	1039	--
честь	559	6.64	1.1563	716	2002	1596
merry	560	6.64	1.2898	--	778	--
девушку	561	6.64	1.0645	1274	293	--
выжил	562	6.64	1.2578	3834	--	--
фантастика	563	6.64	1.1739	4477	--	--
ржу	564	6.64	1.7233	--	4294	--
легко	565	6.64	0.8020	776	1034	623
девушкой	566	6.64	1.1021	1898	2663	--
приветик	567	6.64	1.3516	--	3769	--
родился	568	6.64	1.0451	1571	2985	2784
богом	569	6.64	1.5086	1947	--	--
молод	570	6.64	1.2081	4497	--	--
малышка	571	6.64	1.2578	2226	--	--
party	572	6.64	1.2578	--	1728	--
заботиться	573	6.64	1.0645	2726	--	--
справедливо	574	6.62	1.0476	--	--	2382
уважаемые	575	6.62	0.9010	--	3699	--
творчество	576	6.62	1.2436	--	--	2219
гости	577	6.62	1.0859	1890	1351	3737
кошка	578	6.62	1.2919	4892	2731	--
играть	579	6.62	1.0476	546	967	2870
жених	580	6.62	1.1933	4396	--	--
hello	581	6.62	1.2271	--	1285	--
свет	582	6.62	1.2599	615	1130	954
молодежь	583	6.62	1.0476	--	4319	3074
родины	584	6.62	1.3076	--	--	2760
елку	585	6.62	1.1586	--	1257	--
чисто	586	6.62	1.0859	1637	2896	1191
небо	587	6.62	1.2760	2236	2270	1985
ребенком	588	6.62	1.0079	2122	--	--
сбываются	589	6.62	1.0859	--	4727	--
well	590	6.62	1.2436	--	2026	--
детский	591	6.62	1.0669	--	2957	--
чистых	592	6.62	1.1045	--	3814	--
бесплатный	593	6.62	1.1229	--	1794	--
санта	594	6.62	1.3686	3038	3061	--
свободных	595	6.62	1.1409	--	--	3932
играем	596	6.62	1.1933	3359	--	--
согласна	597	6.62	1.0476	2655	1850	--
квн	598	6.62	1.2103	--	3054	--
бабушки	599	6.62	1.0669	--	3763	--
печенье	600	6.62	1.1586	4064	--	--
дружок	601	6.62	1.0476	2675	--	--
уважаю	602	6.60	0.9897	--	4284	--
любила	603	6.60	1.7261	1758	4056	--
удобно	604	6.60	1.0102	3289	2799	--
поэзия	605	6.60	1.0690	--	--	4396
познакомиться	606	6.60	0.8081	993	--	--
песни	607	6.60	1.1606	2473	364	1374
детских	608	6.60	1.0102	--	--	4905
доход	609	6.60	1.1952	--	--	4569
мечтал	610	6.60	1.0302	3441	--	--
папу	611	6.60	1.2454	2754	4587	--
великого	612	6.60	1.1249	4746	--	1130
free	613	6.60	1.2936	--	649	--
спасение	614	6.60	1.1066	4977	--	--
творчестве	615	6.60	1.1952	--	--	2709
творчества	616	6.58	1.1968	--	--	1204
родину	617	6.58	1.3864	--	--	3882
модно	618	6.58	1.1082	--	3868	--
преимущества	619	6.58	1.1082	--	--	4387
звезда	620	6.58	1.0515	2227	2742	--
петь	621	6.58	1.0515	1913	2721	--
моря	622	6.58	1.1622	3350	--	906
