Word	Havg	StDev	FreqListRank	TwitterRank
kebutuhan	2774	5.84	0.9971	2344	--
kelebihan	2775	5.84	1.3756	--	3377
studio	2776	5.84	1.0568	3566	3686
bu	2777	5.84	1.5032	632	649
victoria	2778	5.84	1.0568	5154	--
club	2779	5.84	1.0373	4479	3192
membagi	2780	5.84	1.3149	4032	--
dosen	2781	5.82	1.1726	--	2153
ikutlah	2782	5.82	1.0240	4935	--
benar-benar	2783	5.82	1.3656	--	2867
memungkinkan	2784	5.82	1.0437	2591	--
pakaian	2785	5.82	1.0039	776	5361
oscar	2786	5.82	1.1551	3483	--
februari	2787	5.82	1.1008	6027	3695
peluncuran	2788	5.82	0.9833	3986	--
50rb	2789	5.82	0.8497	--	4132
mesir	2790	5.82	1.2237	3536	--
irlandia	2791	5.82	1.1373	3995	--
berawal	2792	5.82	1.1192	--	5138
hadapi	2793	5.82	1.2403	2119	2693
teteh	2794	5.82	1.2728	--	1541
agnes	2795	5.82	1.3045	--	2348
iyo	2796	5.82	1.4097	--	620
heii	2797	5.82	1.2237	--	5344
wajar	2798	5.82	0.9409	3770	2642
maghrib	2799	5.82	1.6744	--	3091
menghubungi	2800	5.82	1.0039	1196	--
hidupmu	2801	5.82	1.0240	1100	1546
obama	2802	5.82	1.5345	--	6182
bagimu	2803	5.82	0.8254	1384	4674
melatih	2804	5.82	0.8965	3030	--
menawarkan	2805	5.82	1.0631	1604	--
kenceng	2806	5.82	1.0240	--	5892
perahu	2807	5.82	0.8965	1036	--
mudahan	2808	5.82	1.2237	--	2801
kerumah	2809	5.82	0.8734	2930	1276
kaos/sweater/hoodie/mug	2810	5.82	1.4097	--	3706
berkeliling	2811	5.82	1.0240	3249	--
sekretaris	2812	5.82	0.9624	4386	--
tweets	2813	5.82	0.9409	--	2012
kuharap	2814	5.82	1.0631	986	--
selanjutnya	2815	5.82	1.0039	975	5145
body	2816	5.82	1.0821	--	3120
benih	2817	5.82	0.9833	6015	--
diajarkan	2818	5.82	0.9833	5816	--
review	2819	5.82	1.0821	--	5473
modem	2820	5.82	0.9624	--	2841
pusat	2821	5.82	1.0039	907	3498
memintamu	2822	5.82	1.1726	2662	--
berlindung	2823	5.82	1.4803	2918	--
sampe	2824	5.82	1.1373	--	297
melampaui	2825	5.82	1.3805	5864	--
dompet	2826	5.82	0.9833	3647	3012
rambutmu	2827	5.82	0.9409	3071	--
daun	2828	5.82	1.1192	2313	4823
kak	2829	5.82	0.8497	3990	54
agustus	2830	5.82	1.0437	5359	6138
terus	2831	5.82	1.1373	238	174
donald	2832	5.82	1.3200	4954	--
idup	2833	5.82	1.3354	--	2869
kirim	2834	5.82	0.9624	1096	1138
suasana	2835	5.82	1.0631	2304	1859
mac	2836	5.82	1.2237	3344	--
kitab	2837	5.82	1.0240	5424	--
☺rt	2838	5.82	1.3805	--	6176
boys	2839	5.82	0.9833	4478	2371
washington	2840	5.82	1.1726	2272	--
tumpangan	2841	5.82	0.9833	2842	--
pink	2842	5.82	1.2070	3888	2835
secangkir	2843	5.82	0.9190	3764	--
mengirim	2844	5.82	1.0039	725	5654
everyday	2845	5.82	1.1551	--	4857
oktober	2846	5.82	1.2887	3546	--
kuhubungi	2847	5.82	0.9833	5387	--
inget	2848	5.82	1.1726	--	528
nyampe	2849	5.82	1.3354	--	1336
telpon	2850	5.82	0.7743	1023	2903
kabarnya	2851	5.82	1.0039	4759	3541
kesekolah	2852	5.82	1.1008	--	5119
memory	2853	5.82	1.0631	--	6079
mencoba	2854	5.82	1.0240	215	1272
work	2855	5.82	1.2567	5464	3478
maukah	2856	5.82	1.0821	1201	--
ventilasi	2857	5.82	1.0039	6132	--
status	2858	5.82	1.2070	2813	892
ƪ˘⌣˘ʃ	2859	5.82	1.6249	--	2164
mengingatkanku	2860	5.82	1.2237	4677	--
melek	2861	5.82	1.1008	--	2643
suster	2862	5.82	1.1192	3221	--
pemberitahuan	2863	5.82	1.1551	4384	--
yooo	2864	5.82	1.2403	--	4225
=p	2865	5.82	1.1899	--	3367
sepertiku	2866	5.82	0.8734	3084	--
kelompok	2867	5.80	0.9476	1171	4359
tujuannya	2868	5.80	0.9476	4468	--
ingat	2869	5.80	1.0102	217	1070
membuatnya	2870	5.80	1.2617	579	6216
diumumkan	2871	5.80	0.9035	--	5837
terdengar	2872	5.80	1.2778	1116	--
go	2873	5.80	1.1429	573	356
plan	2874	5.80	0.9689	--	4393
alice	2875	5.80	1.0302	1639	--
ngetwit	2876	5.80	1.0302	--	4063
sebenarnya	2877	5.80	1.3248	244	1465
kursus	2878	5.80	0.8330	4934	--
diperbaiki	2879	5.80	1.2617	4203	--
cwek	2880	5.80	1.5119	--	4050
mengisi	2881	5.80	0.9897	1842	5450
menceritakan	2882	5.80	1.0498	1137	--
visual	2883	5.80	1.0102	4769	--
pengobatan	2884	5.80	1.3093	3623	--
trima	2885	5.80	1.0302	--	3304
zodiak	2886	5.80	1.0102	--	6092
jantung	2887	5.80	1.1249	1174	3285
walk	2888	5.80	0.9689	--	5255
event	2889	5.80	0.8571	--	3865
lirik	2890	5.80	0.9476	--	2870
ambillah	2891	5.80	1.1249	2880	--
laboratorium	2892	5.80	1.1780	3809	--
ngasih	2893	5.80	1.2122	--	1034
otot	2894	5.80	1.1066	3894	--
jet	2895	5.80	1.1780	4015	--
all	2896	5.80	0.9476	1079	249
vagina	2897	5.80	1.6413	3625	--
bolehkah	2898	5.80	1.1066	1940	--
ford	2899	5.80	1.0690	3110	--
kuasa	2900	5.80	1.2454	3916	5527
study	2901	5.80	1.1429	--	3235
pesanan	2902	5.80	1.0102	3453	--
bangettt	2903	5.80	1.3997	--	5110
klien	2904	5.80	0.9897	2686	--
sony	2905	5.80	1.2122	--	4279
find	2906	5.80	1.1066	5321	2264
kalkun	2907	5.80	1.0102	6200	--
membayarmu	2908	5.80	1.3997	4853	--
will	2909	5.80	1.0102	1150	213
berbahasa	2910	5.80	0.9258	4159	--
hunting	2911	5.80	1.3851	--	5425
duet	2912	5.80	1.1249	--	3474
instrumen	2913	5.80	1.1606	6137	--
warnet	2914	5.80	1.2454	--	3052
pulau	2915	5.80	1.0498	1211	2395
mengendarai	2916	5.80	0.9689	3016	--
ucapin	2917	5.80	0.8806	--	4114
ƪ˘⌣˘┐	2918	5.80	1.6036	--	2774
meluncur	2919	5.80	1.1249	3756	--
petani	2920	5.80	1.2122	3402	--
menyatakan	2921	5.80	0.8806	1892	4210
eve	2922	5.80	1.0498	3162	4109
sabun	2923	5.80	0.9035	5925	4434
ngetweet	2924	5.80	1.3093	--	2103
menyiapkan	2925	5.80	0.8571	2618	--
tuan	2926	5.80	1.1429	200	5801
tubuhnya	2927	5.80	0.9689	2173	--
phoenix	2928	5.80	1.0880	2854	--
apollo	2929	5.80	1.0302	4579	--
menunjukkan	2930	5.80	0.8806	446	3906
she	2931	5.80	1.1429	4094	1383
saham	2932	5.80	0.8330	2544	--
group	2933	5.80	1.0690	--	3040
data	2934	5.80	1.1606	1881	3493
didepan	2935	5.80	0.9035	2634	2834
property	2936	5.80	1.1429	2382	--
memerlukannya	2937	5.80	1.3093	5822	--
berangkat	2938	5.80	1.0102	917	1525
padaku	2939	5.80	1.1606	139	3250
sir	2940	5.80	0.9035	310	4934
amanda	2941	5.80	1.2289	3089	--
pengunjung	2942	5.80	1.0690	5304	--
planet	2943	5.80	1.0102	488	4483
tweet	2944	5.80	1.0102	--	381
masuk	2945	5.80	1.0302	130	248
harimu	2946	5.80	1.2289	3878	--
dilatih	2947	5.80	0.8571	4623	--
memberitahunya	2948	5.80	0.8330	4795	--
memperhatikan	2949	5.80	1.1066	2134	--
digital	2950	5.80	1.1249	5607	4590
diperlukan	2951	5.80	1.1249	1531	--
memanggil	2952	5.80	0.8081	778	--
suamimu	2953	5.80	1.3553	2827	--
eyes	2954	5.80	0.9897	--	2842
kami	2955	5.80	0.9689	24	390
melihatnya	2956	5.80	0.9035	311	--
jawab	2957	5.80	1.2122	634	917
hii	2958	5.80	1.6036	--	5143
gerak	2959	5.80	0.9476	4142	5904
perawatan	2960	5.80	1.3851	2605	--
malam	2961	5.80	1.1429	96	152
peka	2962	5.80	1.1606	--	3749
dara	2963	5.80	1.5386	--	4903
#soalcinta	2964	5.80	1.4569	--	2542
bangun	2965	5.80	1.1249	384	385
terbentuk	2966	5.80	1.0302	5586	--
pemikiran	2967	5.78	1.5022	2710	--
atlantik	2968	5.78	1.1301	6133	--
kupunya	2969	5.78	0.9538	4893	--
cek	2970	5.78	1.0554	1660	549
serasa	2971	5.78	1.0746	--	2137
kepadamu	2972	5.78	0.7900	1539	3495
magrib	2973	5.78	1.5292	--	3145
merindukanmu	2974	5.78	1.8327	1870	4142
akulah	2975	5.78	1.2664	1839	--
mengerjakan	2976	5.78	1.0160	2234	6069
memikirkannya	2977	5.78	1.3746	2556	--
blogspot	2978	5.78	1.0554	932	--
negeri	2979	5.78	1.0359	1192	2392
tujuh	2980	5.78	1.0359	852	--
sempat	2981	5.78	0.8401	2744	2757
´▽`ʃƪ	2982	5.78	1.8983	--	3059
sepenuh	2983	5.78	1.0746	--	5362
peradaban	2984	5.78	1.0746	2681	--
cindy	2985	5.78	1.1119	3292	--
bebeb	2986	5.78	1.4184	--	4853
terlihat	2987	5.78	1.0746	296	1710
disekolah	2988	5.78	1.0934	--	3632
mewakili	2989	5.78	0.9100	2819	--
tidurmu	2990	5.78	1.1480	5706	--
manchester	2991	5.78	1.2824	--	1756
menyadari	2992	5.78	0.9957	933	2924
bersikap	2993	5.78	1.1480	1663	3471
sekola	2994	5.78	1.2501	--	5891
pilihanmu	2995	5.78	1.0746	4685	--
golf	2996	5.78	0.9322	5178	--
meluncurkan	2997	5.78	0.7365	4708	--
perasaan	2998	5.78	1.3893	827	436
murid	2999	5.78	1.1119	2192	3850
smsnya	3000	5.78	1.2824	--	4611
perhatikan	3001	5.78	1.1830	1068	--
nyambung	3002	5.78	1.1480	--	2101
brangkat	3003	5.78	0.8640	--	4422
akuu	3004	5.78	1.2337	--	1403
fungsi	3005	5.78	0.9957	4995	--
cream	3006	5.78	0.9100	--	4032
gelang	3007	5.78	0.9750	5506	--
cukup	3008	5.78	0.9957	147	433
diisi	3009	5.78	0.8873	4673	--
vote	3010	5.78	0.9957	--	1670
udang	3011	5.78	1.0359	3157	--
waktuku	3012	5.78	1.2982	3552	--
menyadarinya	3013	5.78	1.2824	4121	--
otak	3014	5.78	1.2982	963	1015
hutan	3015	5.78	1.3138	863	4953
soon	3016	5.78	1.0160	--	2667
someone	3017	5.78	0.9750	--	847
narnia	3018	5.78	1.1119	4193	--
buatkan	3019	5.78	1.0934	5084	--
sungai	3020	5.78	0.9538	976	4066
tempatku	3021	5.78	1.0934	2906	--
kupikirkan	3022	5.78	1.2002	2858	--
sensasi	3023	5.78	1.3138	--	5790
kaskus	3024	5.78	1.0934	--	4169
yaa	3025	5.78	1.2337	--	86
tanaman	3026	5.78	0.9957	1992	--
lilin	3027	5.78	1.1119	3388	4687
transtv	3028	5.78	0.9750	--	5549
mengemudi	3029	5.78	0.9322	1399	--
memperlihatkan	3030	5.78	1.0160	3765	--
kerjakan	3031	5.78	1.2824	1899	--
kujelaskan	3032	5.78	1.2501	5119	--
guys	3033	5.78	1.0554	925	864
trying	3034	5.78	1.1657	--	4898
kesaksian	3035	5.78	1.1657	5419	--
alaska	3036	5.78	1.3138	3476	--
sekalian	3037	5.78	1.1119	3560	1244
tubuhmu	3038	5.78	1.0934	2874	--
kucoba	3039	5.78	1.0554	3666	--
have	3040	5.78	0.9957	2111	314
kepadanya	3041	5.78	0.9957	1264	--
anna	3042	5.78	1.1657	1362	--
#nowplaying	3043	5.78	1.3138	--	2244
haaa	3044	5.78	1.4609	--	3697
eksperimen	3045	5.78	1.2501	5728	--
wizard	3046	5.78	1.3138	4170	--
sumber	3047	5.78	1.2337	1598	4445
meneruskan	3048	5.78	1.0160	5503	--
kontak	3049	5.78	0.9957	1599	5505
buka	3050	5.78	0.8873	428	455
perdagangan	3051	5.78	1.1119	3046	--
beli	3052	5.78	1.0160	1364	292
membuktikannya	3053	5.78	0.9100	4237	--
bangunan	3054	5.78	1.2002	1523	--
yoona	3055	5.78	1.2982	--	4274
atasnya	3056	5.78	1.1480	1658	--
duluan	3057	5.78	0.9538	1836	1266
samarinda	3058	5.78	1.0934	--	6018
tiket	3059	5.78	1.2337	1463	1632
isabella	3060	5.76	1.0984	6230	--
mengalahkannya	3061	5.76	1.7792	5756	--
upaya	3062	5.76	0.9806	4102	--
membawa	3063	5.76	0.9161	214	1986
pelajari	3064	5.76	0.9161	2787	--
hubungannya	3065	5.76	0.9161	1312	4812
permulaan	3066	5.76	1.0214	3621	--
menara	3067	5.76	1.0012	1656	--
bibir	3068	5.76	0.9806	3612	2849
menontonnya	3069	5.76	1.0214	5577	--
iyalah	3070	5.76	1.1877	--	2265
#nasional	3071	5.76	1.3024	--	5718
ceritanya	3072	5.76	0.9381	2184	2436
dpat	3073	5.76	1.3637	--	5463
terlebih	3074	5.76	1.1528	2664	--
bukumu	3075	5.76	1.0797	5747	--
ngguyu	3076	5.76	1.8688	--	6126
suaraku	3077	5.76	0.8466	5956	--
aku	3078	5.76	1.0984	1	5
pengamatan	3079	5.76	1.3180	5059	--
place	3080	5.76	0.8935	5099	4441
ikutan	3081	5.76	0.9806	--	776
medan	3082	5.76	1.0412	2970	1955
suaminya	3083	5.76	1.1704	3143	--
kumpulkan	3084	5.76	1.0412	3768	--
papah	3085	5.76	1.3637	--	3683
telfon	3086	5.76	1.1877	--	5190
mengandalkan	3087	5.76	1.2216	4317	--
beri	3088	5.76	1.0412	397	1490
answer	3089	5.76	1.1350	--	6240
brarti	3090	5.76	1.1350	--	1802
barunya	3091	5.76	1.0984	5501	4223
rumput	3092	5.76	1.1877	2143	5762
kota	3093	5.76	1.1350	255	738
mencariku	3094	5.76	1.0606	4824	--
pendeta	3095	5.76	1.4507	1857	--
infonya	3096	5.76	1.0012	--	4929
waah	3097	5.76	1.1704	--	3320
majalah	3098	5.76	1.0012	2486	4306
lampu	3099	5.76	1.0984	943	1241
kekuasaan	3100	5.76	1.4923	1711	--
kolonel	3101	5.76	1.2048	1124	--
people	3102	5.76	1.0797	6032	1017
mkan	3103	5.76	1.3486	--	1566
infinite	3104	5.76	1.3024	--	6208
oiya	3105	5.76	0.7969	--	3448
penjualan	3106	5.76	1.1350	3518	4935
siap2	3107	5.76	0.7440	--	2190
mataku	3108	5.76	1.3334	1814	3257
kerja	3109	5.76	1.3637	489	559
wahh	3110	5.76	1.4223	--	2114
oppa	3111	5.76	1.4223	--	832
rasa	3112	5.76	1.0412	266	302
kwan	3113	5.76	1.6606	--	6250
yaya	3114	5.76	1.3180	--	3431
nilainya	3115	5.76	1.2048	--	3603
request	3116	5.76	1.1168	--	3027
pilihan	3117	5.76	1.3933	543	1585
maem	3118	5.76	1.1350	--	3380
budi	3119	5.76	1.0606	--	3529
batam	3120	5.76	1.2216	--	6183
watch	3121	5.76	1.0012	2542	1625
penjual	3122	5.76	1.2048	5112	--
detail	3123	5.76	1.0797	4036	--
neng	3124	5.76	1.3486	--	403
terasa	3125	5.76	0.8221	1797	1160
bangunlah	3126	5.76	1.2048	2445	--
spesifik	3127	5.76	0.9161	5083	--
pakaianmu	3128	5.76	1.0214	4808	--
identitas	3129	5.76	0.9806	3065	--
menyimpan	3130	5.76	0.9806	1056	4123
akses	3131	5.76	1.0012	2550	--
surat	3132	5.76	1.1168	576	2804
berkuasa	3133	5.76	1.6107	3118	--
naikkan	3134	5.76	1.2382	3983	--
slalu	3135	5.76	1.0412	--	598
kontrol	3136	5.76	0.9381	1519	--
merapat	3137	5.76	1.0012	--	3496
pembaca	3138	5.76	0.9806	5936	--
rencananya	3139	5.76	0.8466	2702	--
looking	3140	5.76	0.9596	--	4256
rambut	3141	5.76	1.0797	877	942
kaulah	3142	5.74	0.8033	2008	--
gerakkan	3143	5.74	0.9216	4277	--
kedutaan	3144	5.74	1.2747	4563	--
sctv	3145	5.74	1.1395	--	2070
katakan	3146	5.74	1.2090	111	2138
tulis	3147	5.74	0.9858	1755	2766
biologi	3148	5.74	1.2423	5517	3742
berjanjilah	3149	5.74	1.3219	3782	--
sayap	3150	5.74	1.0063	2039	--
kaos	3151	5.74	0.9435	4573	2109
menjemput	3152	5.74	1.1747	2870	--
benarkan	3153	5.74	1.1920	3004	--
pakai	3154	5.74	0.9435	671	1500
bella	3155	5.74	1.1572	2226	3807
naruto	3156	5.74	1.1920	4533	--
masyarakat	3157	5.74	0.9216	1386	3312
juventus	3158	5.74	1.2257	--	3942
namamu	3159	5.74	1.0461	926	4597
target	3160	5.74	1.1572	1145	2808
menjadikan	3161	5.74	0.9216	3728	4540
membentuk	3162	5.74	1.0654	2120	--
teleponnya	3163	5.74	0.9216	2869	--
menatapku	3164	5.74	1.1395	2892	--
gunakan	3165	5.74	0.8526	759	3937
swift	3166	5.74	1.1572	--	5403
kuncinya	3167	5.74	1.1214	1504	--
ingatkan	3168	5.74	0.8762	4723	--
direncanakan	3169	5.74	1.1395	4462	--
contact	3170	5.74	0.9435	--	4582
menulisnya	3171	5.74	1.2090	4630	--
fiksi	3172	5.74	1.2423	5742	--
orang-orang	3173	5.74	0.8992	--	2435
dikamar	3174	5.74	1.1572	--	3772
senilai	3175	5.74	0.9216	6114	--
miami	3176	5.74	1.2747	3308	--
avenue	3177	5.74	0.9858	3942	--
persen	3178	5.74	1.0844	2082	4618
pegang	3179	5.74	0.9649	1049	2950
central	3180	5.74	1.2090	4126	--
unyu	3181	5.74	1.4957	--	1574
mengarahkan	3182	5.74	0.7508	4104	--
paket	3183	5.74	1.1395	2254	2174
holmes	3184	5.74	1.1920	3052	--
sep	3185	5.74	1.2586	--	4536
tabung	3186	5.74	1.0264	3862	--
kubawa	3187	5.74	1.0461	4196	--
patut	3188	5.74	0.9435	3735	5708
iso	3189	5.74	1.1747	--	1314
meminum	3190	5.74	1.0654	6252	--
meletakkan	3191	5.74	1.1214	1021	--
jiwamu	3192	5.74	1.0654	3969	--
nginep	3193	5.74	1.2090	--	2945
satu	3194	5.74	1.2090	54	223
muka	3195	5.74	1.0461	1938	683
koko	3196	5.74	0.9858	--	2672
yok	3197	5.74	1.1031	--	1527
olivia	3198	5.74	1.1920	5824	--
poster	3199	5.74	0.9435	5350	5668
us	3200	5.74	1.0063	2531	971
menempatkan	3201	5.74	1.0264	876	--
daratan	3202	5.74	1.0063	3874	--
episode	3203	5.74	1.0844	5611	3839
didunia	3204	5.74	1.3063	4779	3509
dibikin	3205	5.74	1.0654	--	5459
jerusalem	3206	5.74	1.5228	5684	--
pass	3207	5.74	1.4957	4300	4546
kereta	3208	5.74	1.1031	542	3147
rambutku	3209	5.74	1.0654	3945	--
ngrti	3210	5.74	1.0264	--	4224
rambo	3211	5.74	1.3219	4157	--
kuil	3212	5.74	1.0654	2862	--
hidupnya	3213	5.74	1.0264	1298	3859
kekaisaran	3214	5.74	1.1214	4346	--
sama	3215	5.74	0.9858	123	20
difollow	3216	5.74	1.3219	--	4550
sbar	3217	5.74	1.7357	--	3177
dikelilingi	3218	5.74	1.0654	3859	--
mengutus	3219	5.74	1.2257	5104	--
american	3220	5.74	1.3372	6045	--
mengirimkan	3221	5.74	0.9649	1275	--
mulutku	3222	5.74	1.2090	5486	--
antv	3223	5.74	1.0264	--	5081
keatas	3224	5.74	0.9858	2749	--
jendela	3225	5.74	1.0264	948	--
┌˘⌣˘ʃ	3226	5.74	1.5493	--	2881
jawaban	3227	5.74	1.1031	1046	2195
nur	3228	5.74	1.3524	--	5775
nelpon	3229	5.74	0.9216	--	4077
akuuu	3230	5.74	1.3524	--	5266
jiwanya	3231	5.74	1.1747	4800	--
adiknya	3232	5.74	1.1214	3852	--
cepet	3233	5.74	1.1747	--	592
full	3234	5.74	1.7706	--	1435
kerjaan	3235	5.74	1.4115	3886	1586
dinosaurus	3236	5.74	1.1395	3195	--
ring	3237	5.74	1.0063	4368	--
scarlett	3238	5.74	1.1214	1717	--
bagiku	3239	5.74	0.9649	947	3193
berkata	3240	5.74	1.1214	303	1844
menunjukan	3241	5.74	0.9649	5267	--
ngajarin	3242	5.74	1.1031	--	4873
udahh	3243	5.74	1.2257	--	4802
hee	3244	5.74	1.3674	4374	2419
memakainya	3245	5.74	0.9435	2413	--
organisme	3246	5.74	1.0063	5961	--
bukit	3247	5.72	1.2784	2037	--
#followme	3248	5.72	1.5391	--	779
seribu	3249	5.72	1.0309	2568	3176
web	3250	5.72	0.9485	5418	3148
dikerjakan	3251	5.72	1.0309	5297	--
mobilnya	3252	5.72	1.2461	1437	--
sampaikan	3253	5.72	0.9044	3432	--
menjadi	3254	5.72	1.0698	89	227
watching	3255	5.72	1.0110	--	3519
yap	3256	5.72	1.4003	--	3725
lihat	3257	5.72	1.1613	63	973
send	3258	5.72	0.9485	--	5125
bnyk	3259	5.72	1.3708	--	890
kamu	3260	5.72	1.0110	21	11
situs	3261	5.72	1.0887	2607	5845
rencanakan	3262	5.72	0.8816	5024	--
persiapkan	3263	5.72	0.9485	6213	--
lebar	3264	5.72	0.9697	3082	3442
sms	3265	5.72	1.3099	--	149
man	3266	5.72	0.9697	368	905
may	3267	5.72	0.9485	--	1708
hogwarts	3268	5.72	1.3254	4689	--
gandum	3269	5.72	0.8816	5963	--
profil	3270	5.72	1.0506	--	4708
berikan	3271	5.72	1.1073	240	1325
antar	3272	5.72	1.0887	2342	3786
annyeong	3273	5.72	1.2784	--	3427
keputusan	3274	5.72	1.2129	1099	2625
add	3275	5.72	0.8581	--	1592
keseluruhan	3276	5.72	1.0110	2543	--
mayor	3277	5.72	0.9697	1591	--
fiona	3278	5.72	1.0110	4325	--
kaka	3279	5.72	1.1959	--	235
tawarkan	3280	5.72	0.8340	4646	--
own	3281	5.72	1.1787	--	3957
rmah	3282	5.72	1.4434	--	4243
memintaku	3283	5.72	0.9267	2572	--
kendalikan	3284	5.72	1.0110	4524	--
puluhan	3285	5.72	1.0506	5929	4991
fakta	3286	5.72	1.3099	1718	2189
mencatat	3287	5.72	1.1073	4503	--
fanbase	3288	5.72	1.1787	--	2009
teleskop	3289	5.72	1.0309	4620	--
maria	3290	5.72	1.0698	1868	5779
berpikir	3291	5.72	1.2129	162	2219
kuambil	3292	5.72	1.0887	4293	--
listrik	3293	5.72	1.0698	1485	2797
duitnya	3294	5.72	1.0506	--	5688
checked	3295	5.72	0.9697	--	3113
kpop	3296	5.72	1.8740	--	2753
fish	3297	5.72	0.7835	3163	--
berasa	3298	5.72	1.2129	--	1804
dariku	3299	5.72	1.1073	772	--
boy	3300	5.72	1.0698	1741	1024
jasa	3301	5.72	1.2943	5507	2854
mencetak	3302	5.72	1.0110	4311	--
menilai	3303	5.72	1.1613	3256	3438
topi	3304	5.72	0.9485	1461	5999
lingkungan	3305	5.72	1.1959	1753	5293
rumahnya	3306	5.72	0.9044	1990	3449
teknik	3307	5.72	0.9697	2952	--
kumpulan	3308	5.72	1.0110	4392	--
avatar	3309	5.72	1.1613	5700	2577
kembali	3310	5.72	1.0110	62	461
madam	3311	5.72	1.0698	4390	--
jawabannya	3312	5.72	1.0506	2283	4825
kepengen	3313	5.72	1.1436	--	4320
walikota	3314	5.72	1.2129	1876	--
rambutnya	3315	5.72	0.9485	4125	3583
komentar	3316	5.72	1.1787	3830	6010
mba	3317	5.72	1.1436	--	588
kamarmu	3318	5.72	1.1613	4014	--
panggang	3319	5.72	1.4003	3727	--
jagung	3320	5.72	0.9044	3856	4869
diberitahu	3321	5.72	1.0698	2343	--
media	3322	5.72	0.9906	3786	3242
#kompas	3323	5.72	1.1787	--	5518
mantel	3324	5.72	1.1436	2996	--
mamak	3325	5.72	1.2784	--	6028
dengarkan	3326	5.72	1.1073	417	--
become	3327	5.72	0.9697	--	5678
tagged	3328	5.72	1.0506	--	1279
persis	3329	5.72	0.8340	1139	--
menyimpulkan	3330	5.72	0.9044	5567	--
bukunya	3331	5.72	1.1073	3180	--
suara	3332	5.72	0.8816	398	907
tatap	3333	5.72	1.0887	6082	--
level	3334	5.72	0.9485	4078	2629
satelit	3335	5.72	0.8816	2245	--
jaket	3336	5.72	1.0887	2559	3978
berdiri	3337	5.70	0.9313	425	2899
bidang	3338	5.70	1.1650	2840	--
joyce	3339	5.70	1.1824	5749	--
jadilah	3340	5.70	0.8631	1273	2612
fb	3341	5.70	1.2976	--	439
pasang	3342	5.70	0.8631	1478	1873
christine	3343	5.70	1.2976	4855	--
yo	3344	5.70	0.9949	1080	241
metode	3345	5.70	0.9530	3835	--
gandalf	3346	5.70	1.4463	3632	--
august	3347	5.70	1.0546	6090	--
with	3348	5.70	0.8391	1867	193
betty	3349	5.70	0.9313	3691	--
followed	3350	5.70	1.0926	--	590
keduanya	3351	5.70	1.0351	1611	--
telinga	3352	5.70	1.0351	2201	5552
sebanyak	3353	5.70	0.8864	1771	3871
june	3354	5.70	1.1112	4365	--
sma2	3355	5.70	0.9091	--	5343
dirimu	3356	5.70	1.1112	301	432
angin	3357	5.70	1.1112	940	1316
heyy	3358	5.70	1.2976	--	3546
bertiga	3359	5.70	0.8631	3235	--
pelatihan	3360	5.70	1.1473	2464	--
berkedip	3361	5.70	0.9091	5511	--
ayam	3362	5.70	1.1112	1007	873
ngidam	3363	5.70	1.1294	--	5218
diseluruh	3364	5.70	1.0546	5901	--
getting	3365	5.70	1.0152	--	4662
airnya	3366	5.70	1.0152	4395	--
penilaian	3367	5.70	1.1112	5428	--
kapal	3368	5.70	0.9742	364	2943
ijo	3369	5.70	1.4463	--	4133
mas	3370	5.70	0.9742	6028	220
polos	3371	5.70	1.3887	--	3943
oya	3372	5.70	1.3740	--	4252
menulis	3373	5.70	1.1824	602	6164
aslinya	3374	5.70	1.0152	5270	3619
going	3375	5.70	0.9091	5512	1447
lakukanlah	3376	5.70	0.9949	3310	--
mengamati	3377	5.70	0.9949	4075	--
flash	3378	5.70	0.9742	5251	--
iyaiya	3379	5.70	1.4178	--	3228
magang	3380	5.70	1.0738	4904	--
persamaan	3381	5.70	0.8864	5218	--
menyetir	3382	5.70	1.1473	3744	--
tempatmu	3383	5.70	1.0926	3223	--
ribu	3384	5.70	0.9530	1355	2564
pendorong	3385	5.70	1.2976	5741	--
arena	3386	5.70	0.8631	4420	--
many	3387	5.70	0.9742	--	2744
berfikir	3388	5.70	1.3887	2746	3700
memasukkan	3389	5.70	1.1650	2147	--
bnr	3390	5.70	1.3286	--	1554
keliling	3391	5.70	1.0152	4400	3545
dipakai	3392	5.70	1.0738	3351	--
pengiriman	3393	5.70	0.7890	3000	--
sebesar	3394	5.70	1.1112	2907	5184
diatas	3395	5.70	1.0152	1180	2288
perubahan	3396	5.70	1.4321	1033	3114
melaju	3397	5.70	0.9949	5510	--
next	3398	5.70	0.8864	--	1470
gps	3399	5.70	0.9949	5089	--
tim	3400	5.70	0.7626	422	1228
jenny	3401	5.70	1.0926	2706	--
anggota	3402	5.70	0.9742	981	1976
office	3403	5.70	1.2976	--	5918
solo	3404	5.70	1.0152	6203	1825
cuaca	3405	5.70	0.8391	1764	1782
member	3406	5.70	1.1995	--	1404
texas	3407	5.70	1.2976	3383	--
kantor	3408	5.70	1.0738	642	1835
poto	3409	5.70	1.3439	--	3186
pegangan	3410	5.70	0.9530	2479	--
virginia	3411	5.70	1.1112	4455	--
merasakannya	3412	5.70	1.2330	2034	--
matanya	3413	5.70	1.0926	1752	2576
gowes	3414	5.70	1.5017	--	3510
menurutku	3415	5.70	1.1473	1031	--
mail	3416	5.70	0.9530	3440	--
maklum	3417	5.70	1.2976	--	2320
ajari	3418	5.70	0.9949	4362	--
engkau	3419	5.70	0.9313	1465	989
menghitung	3420	5.70	1.3887	1852	--
mingguan	3421	5.70	0.9530	--	4106
