Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank
amor	1	8.68	0.7126	332	69	364
felicidad	2	8.60	0.8330	3620	381	2276
felicidades	3	8.48	0.7351	--	341	--
paz	4	8.42	0.8827	700	391	348
jajajajajajajajaja	5	8.42	1.0319	--	1999	--
amar	6	8.38	0.9452	--	776	--
sonreir	7	8.38	0.9452	--	2639	--
beso	8	8.36	0.7217	2997	309	--
éxito	9	8.34	0.8715	1452	697	1027
felíz	10	8.34	0.9607	--	2308	--
jajajajajajajajajaja	11	8.34	1.1359	--	2859	--
¡feliz	12	8.34	1.1359	--	544	--
alegria	13	8.34	1.0022	--	1784	--
enamoré	14	8.32	0.8676	--	2475	--
jajajajajajaja	15	8.32	1.0962	--	647	--
sonrisas	16	8.28	0.8581	--	2094	--
sonrisa	17	8.28	0.9697	--	583	4148
jajajajajajajaj	18	8.28	1.0698	--	4833	--
jajajajajajajaja	19	8.28	1.1787	--	1163	--
enamorarse	20	8.28	1.0309	--	4644	--
jajajajajajajajajajaja	21	8.26	1.3822	--	3889	--
jajajajaja	22	8.26	1.1920	--	173	--
love	23	8.26	0.9858	1637	93	--
friends	24	8.26	0.9858	2301	1018	--
sonríe	25	8.26	0.8992	--	5015	--
maravillosa	26	8.24	0.8704	--	4654	--
besos	27	8.24	1.0797	2450	318	--
vacaciones	28	8.24	0.9806	1404	690	--
enamorarme	29	8.24	0.9806	--	3998	--
Éxito	30	8.24	1.0214	--	4184	--
enamorados	31	8.22	0.9322	--	5033	--
festejar	32	8.22	0.8640	--	3707	--
felices	33	8.22	1.0359	--	879	--
méxico	34	8.22	1.2002	145	956	143
happy	35	8.22	1.0160	--	80	--
alegría	36	8.22	1.0746	4147	1488	2242
besotes	37	8.22	0.7365	--	4682	--
vida	38	8.22	1.0746	115	58	71
excelente	39	8.20	0.9689	1252	467	3065
happiness	40	8.20	1.1249	--	4642	--
hermosa	41	8.20	0.9258	3881	382	3006
jajajjajaja	42	8.20	1.3997	--	3926	--
besote	43	8.20	1.2289	--	2477	--
musica	44	8.20	1.0880	772	635	--
mamá	45	8.20	1.0690	5093	541	4903
abrazote	46	8.18	0.9409	--	1797	--
enamorada	47	8.18	1.2070	--	1862	--
divertido	48	8.18	0.9190	--	1772	--
enamorado	49	8.18	1.0631	--	1633	--
felicitaciones	50	8.18	0.9190	--	2682	--
placer	51	8.16	1.0759	3410	1477	2572
buenisimo	52	8.16	0.7918	--	1869	--
feliiiz	53	8.16	1.5566	--	2536	--
vivir	54	8.16	1.2349	1192	454	920
amamos	55	8.16	1.0759	--	2442	--
congratulations	56	8.16	1.0568	--	2474	--
música	57	8.16	0.9553	214	573	1050
amarte	58	8.16	1.1669	--	2632	--
libre	59	8.14	1.1250	352	1373	528
triunfo	60	8.14	1.1608	3659	4142	1519
risa	61	8.14	0.9691	5060	531	--
amo	62	8.14	1.1954	2039	76	3828
jajajajjaja	63	8.14	1.1068	--	3127	--
abrazos	64	8.14	1.0692	--	790	--
risas	65	8.14	0.9037	--	1940	--
¡¡feliz	66	8.14	1.5520	--	4546	--
madre	67	8.14	1.3250	882	261	538
sonreír	68	8.12	0.9613	--	1722	--
feliiz	69	8.12	1.3346	--	1116	--
excelentes	70	8.12	1.0622	--	5113	--
navidad	71	8.12	1.2720	2049	581	--
felizzzz	72	8.12	1.2395	--	4593	--
playa	73	8.12	1.0230	1203	466	4249
alegre	74	8.10	1.0738	--	3152	3970
prosperidad	75	8.10	0.9313	--	940	3885
amooor	76	8.10	1.6194	--	4930	--
ajajajaja	77	8.10	1.4321	--	2986	--
aman	78	8.08	1.0850	--	3278	--
bella	79	8.08	0.8999	3418	607	3355
hermosas	80	8.08	0.9655	--	1984	--
jajajajajaj	81	8.08	1.2428	--	1414	--
#feliz	82	8.08	1.3377	--	5263	--
feliz	83	8.08	1.1753	1730	19	2113
alegrías	84	8.08	1.2752	--	3521	--
maravilloso	85	8.06	1.0956	--	1774	--
inteligente	86	8.06	1.0184	4537	1770	4529
confianza	87	8.06	1.0577	2387	2112	1232
contento	88	8.04	1.0490	--	4412	--
ríe	89	8.04	1.1599	--	2931	--
sabiduría	90	8.04	1.1421	--	--	3450
amigos	91	8.04	1.1599	212	199	879
abrazar	92	8.04	0.8320	--	4070	--
preciosa	93	8.04	1.1773	--	1418	--
riendo	94	8.04	0.9681	--	3504	--
mexico	95	8.04	1.2930	637	1197	--
jajajajajaa	96	8.02	1.5971	--	4908	--
enamoro	97	8.02	0.9998	--	2438	--
sorpresa	98	8.02	1.1156	4613	2647	3385
hermosos	99	8.02	0.9366	--	2547	--
regalo	100	8.02	0.8204	2168	694	--
besarte	101	8.02	1.2370	--	4266	--
imaginación	102	8.02	0.9581	--	4861	2613
festejando	103	8.02	0.9366	--	3423	--
besa	104	8.02	0.9998	--	2758	--
kisses	105	8.02	1.0398	--	4021	--
jajajajajaja	106	8.00	1.2778	--	361	--
corazón	107	8.00	0.9476	1215	298	759
playita	108	8.00	1.1249	--	4331	--
playas	109	8.00	1.0302	4203	5186	--
amoor	110	8.00	1.5518	--	2969	--
felizz	111	8.00	1.4569	--	1635	--
celebración	112	8.00	1.0302	3841	3794	3751
amo♥	113	8.00	1.7023	--	2232	--
bellas	114	8.00	1.1066	4682	2979	3283
guapa	115	8.00	0.9897	--	979	--
gratis	116	8.00	1.1066	109	1515	--
party	117	8.00	0.9897	5172	959	--
beautiful	118	7.98	1.0398	--	1383	--
amistades	119	7.98	0.9145	--	4508	--
jajajaa	120	7.98	1.1865	--	1754	--
amigo	121	7.98	1.1516	361	233	763
abrazo	122	7.98	0.9792	3364	177	--
hermoso	123	7.98	0.9366	4821	459	3624
pelicula	124	7.98	1.0200	3101	750	--
smile	125	7.98	1.2696	--	1796	--
familia	126	7.98	1.1156	510	141	396
reír	127	7.96	1.2610	--	2132	--
amistad	128	7.96	1.1241	2403	887	1815
besar	129	7.96	1.3242	--	2267	--
libertad	130	7.96	1.3845	960	1877	263
abuela	131	7.96	1.0490	--	899	--
christmas	132	7.96	1.3087	--	3022	--
beach	133	7.94	1.1141	4943	4561	--
jajaja	134	7.94	1.0184	2872	45	--
delicious	135	7.94	1.0382	763	--	--
gracias	136	7.94	1.0184	161	48	938
regalos	137	7.94	1.1323	2483	2519	--
enamoran	138	7.94	1.2191	--	4914	--
jajajajajajaj	139	7.94	1.4057	--	2588	--
gozar	140	7.94	0.9982	--	--	5228
enamorar	141	7.94	1.0956	--	3478	--
jajajaja	142	7.92	1.0467	--	83	--
besitos	143	7.92	0.9223	--	2077	--
celebrar	144	7.92	1.1036	--	1889	4060
maravilla	145	7.92	1.2428	--	3477	--
paradise	146	7.92	1.2262	--	4422	--
bello	147	7.92	1.1400	4977	916	2294
delicioso	148	7.92	0.9223	--	4431	--
besito	149	7.92	1.2095	--	2702	--
rie	150	7.92	1.3068	--	4482	--
jajajajaa	151	7.92	1.6015	--	2762	--
abuelita	152	7.92	1.2428	--	3039	--
reir	153	7.92	1.3827	--	1665	--
enamore	154	7.92	1.0660	--	2743	--
gratuito	155	7.90	1.0738	2063	--	--
amores	156	7.90	1.0738	--	1099	--
mami	157	7.90	1.1112	--	901	--
divertida	158	7.90	1.0546	--	4824	--
fortuna	159	7.90	1.1112	--	--	1937
naturaleza	160	7.90	1.1650	1042	4269	341
dreams	161	7.90	0.9313	--	1864	--
amado	162	7.90	1.1294	--	3468	4469
papá	163	7.90	1.3590	--	917	--
inspiration	164	7.90	1.1294	--	4355	--
espectacular	165	7.90	1.0926	4785	2344	--
peliculas	166	7.90	1.1824	1545	1681	--
amiga	167	7.90	1.0351	2818	247	--
triunfos	168	7.88	1.0999	--	5144	--
pizza	169	7.88	1.3346	--	1489	--
ganar	170	7.88	1.1183	1869	1248	3359
kiss	171	7.88	1.5070	--	1294	--
bonito	172	7.88	1.0230	3934	491	--
creatividad	173	7.88	1.0029	4477	--	--
belleza	174	7.88	1.2229	890	1585	1835
postre	175	7.88	1.1891	--	4392	--
perfect	176	7.86	1.3852	--	2208	--
Éxitos	177	7.86	1.2456	--	3593	--
amooooo	178	7.86	1.8627	--	3217	--
gracioso	179	7.86	1.1068	--	2500	--
cine	180	7.86	1.0304	326	877	2448
sano	181	7.86	1.1608	--	3898	--
peace	182	7.86	1.3095	--	5057	--
cariño	183	7.86	0.9899	--	982	4320
película	184	7.86	1.1430	1255	760	4506
felicitar	185	7.86	1.0882	--	4867	--
oro	186	7.86	1.0304	1271	2638	606
¡gracias	187	7.86	1.5254	--	5112	--
abuelos	188	7.86	1.0692	--	3612	--
fiesta	189	7.86	1.1430	1288	280	1882
linda	190	7.86	1.0882	3136	321	--
chocolate	191	7.86	1.2456	4055	1086	--
bonitas	192	7.86	1.1954	--	2564	--
teamo	193	7.84	1.6826	--	1239	--
music	194	7.84	1.3149	1216	1702	--
amore	195	7.84	1.3607	--	4083	--
bondad	196	7.84	1.2014	--	--	3703
loves	197	7.84	1.2014	--	2423	--
free	198	7.84	1.2993	826	2346	--
ganancias	199	7.82	1.1008	--	--	4020
birthday	200	7.82	1.2567	--	2257	--
good	201	7.82	1.0631	3944	523	--
enamora	202	7.82	1.1373	--	2808	--
contenta	203	7.82	1.1726	--	4605	--
jajajajaj	204	7.82	1.5345	--	709	--
ganador	205	7.82	1.2403	4853	5084	--
sana	206	7.82	1.1899	--	4327	--
optimismo	207	7.82	1.2887	--	5231	--
internet	208	7.82	1.1726	175	795	--
gratitud	209	7.82	1.0631	--	--	4861
exitoso	210	7.82	1.4384	--	4337	--
canciones	211	7.82	1.0039	561	762	5232
novios	212	7.82	1.2728	--	2434	--
estrella	213	7.80	1.1780	2399	2670	3710
viernes	214	7.80	1.3553	614	1569	--
fiestas	215	7.80	1.3401	1345	1137	2681
aventura	216	7.80	1.2778	2449	4683	3936
jajajaaja	217	7.80	1.5908	--	5147	--
cumpleaños	218	7.80	1.3093	3368	752	--
ajajajaj	219	7.80	1.3997	--	3683	--
flores	220	7.80	0.9258	1246	3124	1094
felizzz	221	7.80	2.0603	--	2522	--
amooo	222	7.80	1.6162	--	1260	--
amoooo	223	7.80	1.6413	--	2237	--
campeón	224	7.80	1.3248	5097	3845	--
mar	225	7.80	1.0690	287	891	486
chistes	226	7.80	1.1780	3545	2842	--
grandeza	227	7.80	1.0102	--	--	2936
novia	228	7.80	1.1952	3145	484	--
poesía	229	7.78	1.0359	2514	--	845
hahahaha	230	7.78	1.3445	--	443	--
campeon	231	7.78	1.2171	--	4583	--
precioso	232	7.78	1.1830	--	3166	--
jajajajajja	233	7.78	1.8327	--	3065	--
mexicano	234	7.78	1.3293	2138	4893	1370
genial	235	7.78	0.9957	4246	416	--
concierto	236	7.78	1.1119	2025	785	--
hermanos	237	7.78	1.0554	1775	1269	1308
sueños	238	7.78	1.4184	2809	475	3245
bonita	239	7.78	1.1830	4587	727	--
miamor	240	7.78	1.5945	--	3606	--
solidaridad	241	7.78	1.2337	2681	--	2418
viajar	242	7.78	1.3293	3280	2399	--
ajajaja	243	7.78	1.4039	--	1748	--
simpatía	244	7.78	0.9957	--	--	4334
disfrutar	245	7.78	1.1119	2455	1076	--
bailar	246	7.76	1.2545	--	784	--
pretty	247	7.76	1.2545	--	2984	--
juguetes	248	7.76	1.0214	2292	--	--
tranquilidad	249	7.76	1.1704	--	3877	3525
festejos	250	7.76	1.2048	--	5295	--
positiva	251	7.76	1.0797	4844	4336	3354
soñar	252	7.76	1.2707	--	1387	--
fun	253	7.76	1.6233	--	1922	--
sexy	254	7.76	1.3334	3019	739	--
guapo	255	7.76	1.3024	--	1028	--
jajjajaja	256	7.76	1.9853	--	3621	--
mama	257	7.76	1.4647	4250	348	--
riqueza	258	7.76	1.4786	5094	--	1280
viajes	259	7.74	1.2090	556	4844	3010
universo	260	7.74	1.1747	2835	2716	2185
luna	261	7.74	1.2747	1666	1424	1803
perfecto	262	7.74	1.6138	1944	699	3502
comida	263	7.74	1.3063	1857	480	2698
dulces	264	7.74	1.1920	--	2830	--
satisfacción	265	7.74	1.1572	4407	--	2155
películas	266	7.74	1.2090	1156	1542	--
taco	267	7.74	1.2586	--	4094	--
jajajaj	268	7.74	1.4682	--	375	--
libertades	269	7.74	1.0461	--	--	3763
piñata	270	7.74	1.1214	--	5018	--
volar	271	7.74	1.1747	--	3441	--
sabado	272	7.72	1.0887	5212	3688	--
rock	273	7.72	1.3559	949	1344	--
juventud	274	7.72	1.1613	2346	5019	1476
graciaas	275	7.72	1.1613	--	4277	--
friend	276	7.72	1.1613	4622	1659	--
sorpresas	277	7.72	1.1959	--	2779	--
valiente	278	7.72	1.1959	--	4270	4910
reí	279	7.72	1.3407	--	2776	--
ajaja	280	7.72	1.3407	--	1953	--
gratuitos	281	7.72	1.1613	5179	--	--
best	282	7.72	1.2129	2573	417	--
premios	283	7.72	1.0506	1363	--	--
perfecta	284	7.72	1.1256	4708	1326	3169
armonía	285	7.72	1.0506	--	--	2784
premium	286	7.72	1.1436	4393	--	--
geniales	287	7.72	1.3099	--	3614	--
lindo	288	7.72	1.0698	4028	268	--
comedia	289	7.70	0.9949	4449	5268	3582
papás	290	7.70	1.3286	--	5156	--
bienvenido	291	7.70	1.1824	2206	576	--
lindas	292	7.70	1.0546	--	1690	--
alegrias	293	7.70	1.5152	--	3590	--
amoo	294	7.70	1.2817	--	910	--
jajaaja	295	7.70	1.3286	--	4078	--
positivas	296	7.70	1.1473	--	4987	--
poema	297	7.70	1.1294	4552	--	1602
gloria	298	7.70	1.2657	2983	3106	1349
cena	299	7.70	1.1112	4425	855	--
excelencia	300	7.70	1.6067	--	--	2854
virtud	301	7.70	0.9949	3446	--	774
juegos	302	7.68	1.0190	133	2060	3479
logro	303	7.68	1.4348	--	4212	4494
jajajja	304	7.68	1.2848	--	1065	--
héroes	305	7.68	1.3005	--	--	4433
chiste	306	7.68	1.1683	--	1708	--
positivo	307	7.68	1.3768	3487	2433	2906
familias	308	7.68	1.0583	1819	2868	1127
exito	309	7.68	1.7893	--	831	--
#felizañonuevo	310	7.68	1.6218	--	2150	--
hermano	311	7.68	1.3468	1934	378	1110
premio	312	7.68	1.4490	1053	3502	2348
tacos	313	7.68	1.4205	--	3520	--
baile	314	7.68	1.1147	3803	1473	4531
buenisima	315	7.68	1.3005	--	4567	--
descansar	316	7.68	0.9134	--	1440	--
salud	317	7.68	1.3768	149	266	674
hahahahah	318	7.68	1.6591	--	3810	--
aceptado	319	7.68	1.2196	--	--	4460
entretenimiento	320	7.68	1.1328	1657	--	--
hogar	321	7.68	1.2362	1070	2518	1945
agradecer	322	7.66	1.1359	--	4013	--
bonitos	323	7.66	1.1178	--	3467	--
pastel	324	7.66	1.2056	--	3286	--
entusiasmo	325	7.66	1.1713	--	--	2252
fiel	326	7.66	1.4230	--	2447	2596
sueña	327	7.66	0.9817	--	4910	--
funny	328	7.66	1.1537	--	4658	--
ideal	329	7.66	1.0994	2093	4558	1592
you♥	330	7.66	1.6734	--	4621	--
padres	331	7.66	1.2875	1223	1090	797
mexicana	332	7.66	1.2390	2129	--	1288
cantar	333	7.66	1.2390	--	1381	4525
festejo	334	7.66	1.2715	--	3777	--
sol	335	7.66	1.1537	980	433	765
estrellas	336	7.66	1.2056	1235	2169	3677
luz	337	7.66	1.0422	723	707	497
jejejejeje	338	7.66	1.2875	--	4367	--
brillante	339	7.66	1.0806	--	--	3185
inteligencia	340	7.64	1.1021	3223	4643	1354
canción	341	7.64	1.1563	1422	608	4383
conciertos	342	7.64	1.2415	1968	4210	--
disfrutando	343	7.64	1.3211	--	1692	--
árbol	344	7.64	1.2898	5176	--	2421
agua	345	7.64	1.2898	298	481	297
cantando	346	7.64	1.1563	--	1109	--
bienestar	347	7.64	1.2578	1910	3953	2169
esperanza	348	7.64	1.2249	2491	1188	1148
amable	349	7.64	1.1739	--	4841	--
artes	350	7.64	1.0645	1430	--	1445
querida	351	7.64	1.0053	--	1417	--
jugar	352	7.64	1.0835	1623	664	4970
hahahahaha	353	7.64	1.6507	--	1121	--
barato	354	7.64	1.0254	4915	5247	--
favorita	355	7.64	1.0254	--	2154	--
encantas	356	7.64	1.1911	--	4441	--
mujer	357	7.64	1.2739	384	320	325
viaje	358	7.64	1.1563	936	969	882
infancia	359	7.62	1.2271	3822	2913	3103
pasión	360	7.62	1.2271	3981	3748	2300
movie	361	7.62	1.1933	4934	3229	--
esperanzas	362	7.62	1.2436	--	3835	3138
welcome	363	7.62	1.3231	--	1374	--
jajajaaj	364	7.62	1.9261	--	4116	--
admiración	365	7.62	1.4553	--	--	3672
rica	366	7.62	1.0859	1082	1429	1164
amigas	367	7.62	1.4412	3355	766	--
hermana	368	7.62	1.1761	4361	505	2628
tequiero	369	7.62	1.5894	--	2215	--
aprobada	370	7.62	1.1761	--	--	5210
jejejeje	371	7.62	1.0476	--	1522	--
extraordinaria	372	7.62	1.3076	--	--	3171
amas	373	7.62	1.4968	--	980	--
lealtad	374	7.62	1.2436	--	--	4684
increible	375	7.62	1.1761	--	981	--
abundancia	376	7.62	1.0859	--	5300	3152
festival	377	7.62	1.1761	1557	--	--
camita	378	7.62	1.2271	--	2516	--
bebé	379	7.62	1.5238	2992	2292	--
emoción	380	7.62	1.1933	--	2485	3630
bien	381	7.62	0.9875	113	51	67
perfectos	382	7.62	1.4693	--	4526	--
jajajajja	383	7.62	1.2760	--	1607	--
imaginar	384	7.62	1.2760	--	4049	--
logros	385	7.60	1.4142	--	3285	--
adoro	386	7.60	1.0690	--	611	--
verano	387	7.60	1.3997	1538	1517	2818
helado	388	7.60	1.3093	--	1494	--
niños	389	7.60	1.1249	408	1043	659
soñando	390	7.60	0.9035	--	4554	--
jajjaja	391	7.60	1.5518	--	2270	--
win	392	7.60	1.3248	--	4458	--
cielo	393	7.60	1.2454	1741	684	966
jajajjaja	394	7.60	1.8952	--	2029	--
jaja	395	7.60	1.2122	3369	65	--
tqm	396	7.60	1.5649	--	1141	--
fortaleza	397	7.60	1.1249	--	--	3636
pareja	398	7.60	1.1780	1417	1416	3405
videojuegos	399	7.60	1.4428	1497	--	--
buena	400	7.60	1.0690	345	156	456
artístico	401	7.58	1.1445	--	--	4713
amazing	402	7.58	1.2950	--	726	--
nacer	403	7.58	1.1622	--	5083	4698
loved	404	7.58	1.5530	--	4953	--
carnaval	405	7.58	1.4299	--	3734	--
feeeliz	406	7.58	2.1198	--	4696	--
vivo	407	7.58	1.3107	1213	610	2122
family	408	7.58	1.7034	--	547	--
ama	409	7.58	1.4995	5280	616	4306
hahahah	410	7.58	1.4441	--	1775	--
vive	411	7.58	1.2631	2242	1045	1632
ternura	412	7.58	1.4010	--	4409	--
árboles	413	7.58	1.0515	4647	--	1968
disfruta	414	7.58	1.1622	--	1651	--
yeah	415	7.58	1.3415	--	924	--
#happynewyear	416	7.58	1.7853	--	711	--
navidades	417	7.58	1.8193	--	3895	--
earth	418	7.58	1.3262	5116	--	--
músicos	419	7.58	1.2304	4135	--	--
perrito	420	7.58	1.1622	--	3840	--
felicito	421	7.56	1.0333	--	4708	--
uvas	422	7.56	1.1095	--	548	--
playing	423	7.56	1.0910	--	5025	--
exitos	424	7.56	1.4450	--	609	--
universidades	425	7.56	1.2961	1939	--	2143
inteligentes	426	7.56	1.1457	--	5307	--
thanks	427	7.56	1.0529	--	710	--
aventuras	428	7.56	1.4868	4578	4872	--
extraordinario	429	7.56	1.3273	--	--	2794
éxitos	430	7.56	1.3426	--	863	--
calidad	431	7.56	1.0721	273	2585	649
amando	432	7.56	1.3273	--	5130	--
amiguita	433	7.56	1.2316	--	5172	--
tesoro	434	7.56	1.1980	--	--	2635
feeliz	435	7.56	2.1108	--	3728	--
verdad	436	7.56	1.1808	543	174	327
hahahha	437	7.56	1.4868	--	4001	--
vidaa	438	7.56	1.7975	--	4140	--
#teamo	439	7.56	2.2238	--	4357	--
paisaje	440	7.56	1.2643	5048	--	2676
chula	441	7.56	1.3118	--	5303	--
descansando	442	7.56	1.2961	--	4991	--
increíble	443	7.54	1.3126	--	1007	--
hahahahahahaha	444	7.54	1.9295	--	4916	--
nuevo	445	7.54	1.2651	62	35	168
jajaa	446	7.54	1.2651	--	2129	--
sábado	447	7.54	1.3126	1130	4114	--
celebra	448	7.54	1.3433	--	4648	--
awesome	449	7.54	1.7049	--	2125	--
lindos	450	7.54	1.2969	--	1925	--
latinoamérica	451	7.54	1.1466	4080	--	--
ganó	452	7.54	1.2969	5207	--	--
bosques	453	7.54	1.1287	4989	--	3039
lotería	454	7.54	1.5677	5184	--	--
viva	455	7.54	1.3734	2571	753	2097
juego	456	7.54	1.1287	489	798	1175
bebés	457	7.54	1.5414	3277	--	--
song	458	7.54	1.3433	4145	1154	--
rico	459	7.54	1.5677	1387	497	1162
bienvenida	460	7.54	1.0343	4397	1755	--
encantan	461	7.54	1.0343	--	2096	--
latinoamericanos	462	7.54	1.2488	--	--	3431
gratuita	463	7.54	1.1466	2464	--	--
musical	464	7.54	1.1988	1294	2955	3852
dormir	465	7.54	1.4458	4037	113	4542
celebrando	466	7.54	1.3126	--	2105	--
enjoy	467	7.54	1.1817	--	3347	--
parís	468	7.52	1.6567	2677	--	874
fantasía	469	7.52	1.1292	--	--	4644
sí	470	7.52	1.3589	413	256	172
innovación	471	7.52	1.0150	2785	--	--
mascotas	472	7.52	1.4602	1680	--	--
dulce	473	7.52	0.9528	2639	1268	2427
life	474	7.52	1.4602	2805	778	--
bienvenidos	475	7.52	0.9311	3927	3930	--
favorito	476	7.52	1.1993	3488	2005	--
nuevos	477	7.52	1.2656	343	738	558
favorite	478	7.52	1.4177	--	4138	--
guapos	479	7.52	1.4462	--	2358	--
mujeres	480	7.52	1.3589	447	525	368
próspero	481	7.52	1.1822	--	2441	--
sex	482	7.52	1.5016	3023	4408	--
vivos	483	7.52	1.3738	--	3993	3534
millon	484	7.52	1.5680	--	2896	--
primavera	485	7.52	1.0150	4022	--	4094
viajero	486	7.52	1.5151	5306	--	--
encanta	487	7.50	1.2164	3126	380	--
agradable	488	7.50	1.1650	--	4382	5148
piscina	489	7.50	1.1294	2725	1859	--
masajes	490	7.50	1.1294	5186	--	--
hola	491	7.50	1.1650	335	158	--
gustar	492	7.50	1.2495	--	3573	--
baby	493	7.50	1.4743	4238	782	--
favoritos	494	7.50	1.1473	523	4518	--
dormiré	495	7.50	1.0738	--	4132	--
jjajaja	496	7.50	1.7173	--	4345	--
impresionante	497	7.50	1.0152	--	2575	--
querido	498	7.50	1.1650	4103	963	1548
respeto	499	7.50	1.0546	2162	1577	1196
suerte	500	7.50	1.2495	1352	479	889
sexo	501	7.50	1.7409	606	718	2438
plenitud	502	7.50	1.2495	--	--	4680
animo	503	7.50	1.2330	--	1834	--
hope	504	7.50	1.4463	--	777	--
dream	505	7.50	1.0926	--	882	--
billetes	506	7.50	1.3286	3319	--	--
auténtico	507	7.50	1.0926	--	--	4762
libremente	508	7.50	1.1294	--	--	3823
home	509	7.50	1.4321	421	1496	--
brothers	510	7.50	1.2330	4465	1175	--
woman	511	7.48	1.4032	--	2403	--
libres	512	7.48	1.3589	2250	--	1761
joven	513	7.48	1.1822	1311	2076	912
leal	514	7.48	1.3285	--	--	5073
quererte	515	7.48	1.2162	--	2746	--
favoritas	516	7.48	1.3886	--	4353	--
champagne	517	7.48	1.2974	--	3102	--
relax	518	7.48	1.2329	--	3199	--
princesa	519	7.48	1.2974	--	1454	--
hijo	520	7.48	1.3438	1160	678	513
riquezas	521	7.48	1.4177	--	--	3408
héroe	522	7.48	1.2656	--	--	3093
domingo	523	7.48	1.5151	725	613	855
alimentos	524	7.48	1.3130	1287	--	1799
hermanito	525	7.48	1.4032	--	2824	--
frutas	526	7.48	1.0736	4454	4866	5068
millón	527	7.48	1.4177	5289	3090	4740
inspiración	528	7.48	1.0925	--	5324	4012
bellos	529	7.48	1.2656	--	3398	--
jjaja	530	7.46	1.5012	--	4588	--
hahaha	531	7.46	1.5012	--	206	--
ajajja	532	7.46	1.6189	--	4881	--
creative	533	7.46	1.2157	2121	--	--
virtudes	534	7.46	1.4458	--	--	2407
becas	535	7.46	1.1817	2587	--	--
tierna	536	7.46	1.0730	--	3088	--
feliiiiz	537	7.46	2.0224	--	4201	--
verdadero	538	7.46	1.1104	3127	1314	979
perfección	539	7.46	1.7752	--	--	3730
encantado	540	7.46	1.0539	--	4167	--
colores	541	7.46	1.3126	1638	2957	2208
yes	542	7.46	1.1988	--	1700	--
sabio	543	7.46	1.2157	--	--	3233
milagro	544	7.46	1.5414	--	3859	4799
ánimo	545	7.46	1.5414	4706	2689	2014
youtube	546	7.46	1.3433	1654	2052	--
siiii	547	7.46	1.4028	--	1182	--
honorable	548	7.46	1.2811	--	--	3417
café	549	7.46	1.2324	2055	1852	1765
victoria	550	7.46	1.2811	1596	1870	1415
tierra	551	7.44	1.2316	652	1062	183
madres	552	7.44	1.5005	3965	2672	4261
perfectamente	553	7.44	1.2643	4357	4166	2072
mariposas	554	7.44	1.1634	--	3987	--
jardines	555	7.44	1.2803	3948	--	--
caribe	556	7.44	1.5928	2392	5210	3025
aprender	557	7.44	1.1095	1936	1187	3297
descubrimiento	558	7.44	1.2149	--	--	2452
mexicanos	559	7.44	1.4309	2946	4030	1910
energía	560	7.44	1.0529	931	2468	1115
corazones	561	7.44	1.2643	--	2634	--
rosas	562	7.44	1.2803	4848	4659	2345
hermanita	563	7.44	1.2480	--	2538	--
chicas	564	7.44	1.0529	1147	712	--
tecnología	565	7.44	1.2480	435	--	1970
agradecido	566	7.44	1.0134	4409	--	--
ofertas	567	7.44	1.2316	255	--	--
ganan	568	7.44	1.2643	--	5062	--
sentimientos	569	7.42	1.2469	4260	1514	1624
fidelidad	570	7.42	1.2631	--	--	3941
imagina	571	7.42	1.2304	--	3941	--
animaciones	572	7.42	0.9495	4453	--	--
espectáculo	573	7.42	1.0897	4697	--	3422
tequila	574	7.42	1.3262	--	2048	--
educacion	575	7.42	1.1622	2717	--	--
miel	576	7.42	1.0120	--	5212	--
encanto	577	7.42	1.0708	--	1883	--
queridos	578	7.42	1.1622	--	1558	--
vidas	579	7.42	1.1445	3665	1536	3058
tkm	580	7.42	1.6914	--	1957	--
restaurantes	581	7.42	1.2137	1201	--	--
sweet	582	7.42	1.2792	--	2785	--
mundo	583	7.42	1.4441	114	103	126
desayuno	584	7.42	1.1796	5095	1686	--
imagine	585	7.42	1.1968	--	3927	--
ferias	586	7.42	1.3415	4402	--	--
celebrado	587	7.42	1.1265	--	--	3782
sabios	588	7.42	1.1622	--	--	5046
valores	589	7.42	1.1968	898	--	639
jardín	590	7.40	1.1066	1803	--	3565
disfruté	591	7.40	1.1066	--	3977	--
girl	592	7.40	1.3553	4528	1146	--
excepcional	593	7.40	1.3553	--	--	5208
limpieza	594	7.40	1.3553	1540	--	5234
frutos	595	7.40	1.1606	--	--	2049
disfruten	596	7.40	1.2936	--	2314	--
jejeje	597	7.40	1.1952	--	540	--
muchisimo	598	7.40	1.3401	--	1533	--
descuento	599	7.40	1.3093	3610	--	--
diosa	600	7.40	1.2289	--	3842	--
artista	601	7.40	1.0880	1951	2691	2377
juega	602	7.40	1.0302	4293	2490	--
university	603	7.40	1.2289	3937	--	1784
wii	604	7.40	1.3851	2265	2448	--
ayudar	605	7.40	1.2454	1900	2613	3332
aprobado	606	7.40	1.4846	3051	--	3107
agradezco	607	7.40	1.1606	--	3795	--
gusta	608	7.40	1.1606	668	160	4017
cenando	609	7.40	1.2122	--	3978	--
familiar	610	7.40	1.6036	1604	1147	1464
jajjaa	611	7.38	1.9576	--	4941	--
dinero	612	7.38	1.6399	737	748	735
vegetación	613	7.38	1.3231	--	--	5296
universitarios	614	7.38	1.2760	4390	--	4300
tecnológica	615	7.38	1.2599	3635	--	5156
humor	616	7.38	1.2103	1060	1743	4488
